sensor,time,freq
1,2014-01-29T18:00:07+00:00,62411417.3228
1,2014-01-29T19:00:07+00:00,62411417.3228
1,2014-01-29T20:00:07+00:00,62411417.3228
1,2014-01-29T21:00:07+00:00,62411417.3228
1,2014-01-29T22:00:07+00:00,62411417.3228
1,2014-01-29T23:00:08+00:00,62411417.3228
1,2014-01-30T00:00:08+00:00,62411417.3228
1,2014-01-30T01:00:08+00:00,62411417.3228
1,2014-01-30T02:00:08+00:00,62411417.3228
1,2014-01-30T03:00:08+00:00,62411417.3228
1,2014-01-30T04:00:08+00:00,62411417.3228
1,2014-01-30T05:00:08+00:00,62411417.3228
1,2014-01-30T06:00:09+00:00,62411417.3228
1,2014-01-30T07:00:09+00:00,62411417.3228
1,2014-01-30T08:00:09+00:00,62411417.3228
1,2014-01-30T09:00:09+00:00,62411417.3228
1,2014-01-30T10:00:09+00:00,62411417.3228
1,2014-01-30T11:00:09+00:00,62411417.3228
1,2014-01-30T12:00:09+00:00,62411417.3228
1,2014-01-30T13:00:09+00:00,62411417.3228
1,2014-01-30T14:00:09+00:00,62411417.3228
1,2014-01-30T15:00:10+00:00,62411417.3228
1,2014-01-30T16:00:10+00:00,62411417.3228
1,2014-01-30T17:00:10+00:00,62411417.3228
1,2014-01-30T18:00:07+00:00,62411417.3228
1,2014-01-30T19:00:07+00:00,62411417.3228
1,2014-01-30T20:00:07+00:00,62411417.3228
1,2014-01-30T21:00:07+00:00,62411417.3228
1,2014-01-30T22:00:07+00:00,62411417.3228
1,2014-01-30T23:00:08+00:00,62411417.3228
1,2014-01-31T00:00:08+00:00,62411417.3228
1,2014-01-31T01:00:08+00:00,62411417.3228
1,2014-01-31T02:00:08+00:00,62411417.3228
1,2014-01-31T03:00:08+00:00,62411417.3228
1,2014-01-31T04:00:08+00:00,62411417.3228
1,2014-01-31T05:00:08+00:00,62411417.3228
1,2014-01-31T06:00:08+00:00,62411417.3228
1,2014-01-31T07:00:08+00:00,62411417.3228
